"","UniProt_ID","Reactome_ID","Pathway_Description"
"1170","Q06323","R-HSA-5676590","NIK-->noncanonical NF-kB signaling"
"1171","Q06323","R-HSA-5678895","Defective CFTR causes cystic fibrosis"
"1172","Q06323","R-HSA-5687128","MAPK6/MAPK4 signaling"
"1173","Q06323","R-HSA-5689603","UCH proteinases"
"1174","Q06323","R-HSA-5689880","Ub-specific processing proteases"
"1175","Q06323","R-HSA-68827","CDT1 association with the CDC6:ORC:origin complex"
"1176","Q06323","R-HSA-68949","Orc1 removal from chromatin"
"1177","Q06323","R-HSA-69017","CDK-mediated phosphorylation and removal of Cdc6"
"1178","Q06323","R-HSA-69481","G2/M Checkpoints"
"1179","Q06323","R-HSA-69601","Ubiquitin Mediated Degradation of Phosphorylated Cdc25A"
"1180","Q06323","R-HSA-75815","Ubiquitin-dependent degradation of Cyclin D"
"1181","Q06323","R-HSA-8852276","The role of GTSE1 in G2/M progression after G2 checkpoint"
"1182","Q06323","R-HSA-8854050","FBXL7 down-regulates AURKA during mitotic entry and in early mitosis"
"1183","Q06323","R-HSA-8939236","RUNX1 regulates transcription of genes involved in differentiation of HSCs"
"1184","Q06323","R-HSA-8939902","Regulation of RUNX2 expression and activity"
"1185","Q06323","R-HSA-8941858","Regulation of RUNX3 expression and activity"
"1186","Q06323","R-HSA-8948751","Regulation of PTEN stability and activity"
"1187","Q06323","R-HSA-8951664","Neddylation"
"1188","Q06323","R-HSA-9010553","Regulation of expression of SLITs and ROBOs"
"1189","Q06323","R-HSA-9020702","Interleukin-1 signaling"
"1190","Q06323","R-HSA-9604323","Negative regulation of NOTCH4 signaling"
"1191","Q06323","R-HSA-983168","Antigen processing: Ubiquitination & Proteasome degradation"
"1192","Q07011","R-HSA-5669034","TNFs bind their physiological receptors"
"1193","Q07325","R-HSA-380108","Chemokine receptors bind chemokines"
"1194","Q07325","R-HSA-418594","G alpha (i) signalling events"
"1195","Q07654","R-HSA-9018519","Estrogen-dependent gene expression"
"1196","Q08334","R-HSA-449836","Other interleukin signaling"
"1197","Q08334","R-HSA-6783783","Interleukin-10 signaling"
"1198","Q08334","R-HSA-8854691","Interleukin-20 family signaling"
"1199","Q10589","R-HSA-6798695","Neutrophil degranulation"
"1200","Q10589","R-HSA-909733","Interferon alpha/beta signaling"
"1201","Q12805","R-HSA-2129379","Molecules associated with elastic fibres"
"1202","Q12860","R-HSA-2122948","Activated NOTCH1 Transmits Signal to the Nucleus"
"1203","Q12860","R-HSA-2979096","NOTCH2 Activation and Transmission of Signal to the Nucleus"
"1204","Q12860","R-HSA-373760","L1CAM interactions"
"1205","Q12860","R-HSA-447043","Neurofascin interactions"
"1206","Q12864","R-HSA-418990","Adherens junctions interactions"
"1207","Q13007","R-HSA-8854691","Interleukin-20 family signaling"
"1208","Q13093","R-HSA-422085","Synthesis, secretion, and deacylation of Ghrelin"
"1209","Q13231","R-HSA-189085","Digestion of dietary carbohydrate"
"1210","Q13231","R-HSA-6798695","Neutrophil degranulation"
"1211","Q13241","R-HSA-198933","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell"
"1212","Q13241","R-HSA-2172127","DAP12 interactions"
"1213","Q13241","R-HSA-2424491","DAP12 signaling"
"1214","Q13261","R-HSA-8983432","Interleukin-15 signaling"
"1215","Q13332","R-HSA-3000178","ECM proteoglycans"
"1216","Q13332","R-HSA-388844","Receptor-type tyrosine-protein phosphatases"
"1217","Q13332","R-HSA-8849932","Synaptic adhesion-like molecules"
"1218","Q13332","R-HSA-9034015","Signaling by NTRK3 (TRKC)"
"1219","Q13361","R-HSA-1566948","Elastic fibre formation"
"1220","Q13361","R-HSA-2129379","Molecules associated with elastic fibres"
"1221","Q13444","R-HSA-1474228","Degradation of the extracellular matrix"
"1222","Q13444","R-HSA-8941237","Invadopodia formation"
"1223","Q13451","R-HSA-3371497","HSP90 chaperone cycle for steroid hormone receptors (SHR)"
"1224","Q13451","R-HSA-8939211","ESR-mediated signaling"
"1225","Q13451","R-HSA-9022699","MECP2 regulates neuronal receptors and channels"
"1226","Q13478","R-HSA-9008059","Interleukin-37 signaling"
"1227","Q13478","R-HSA-9012546","Interleukin-18 signaling"
"1228","Q13541","R-HSA-166208","mTORC1-mediated signalling"
"1229","Q13541","R-HSA-72662","Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S"
"1230","Q13651","R-HSA-6783783","Interleukin-10 signaling"
"1231","Q13740","R-HSA-373760","L1CAM interactions"
"1232","Q13867","R-HSA-983168","Antigen processing: Ubiquitination & Proteasome degradation"
"1233","Q14116","R-HSA-448706","Interleukin-1 processing"
"1234","Q14116","R-HSA-6783783","Interleukin-10 signaling"
"1235","Q14116","R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling"
"1236","Q14116","R-HSA-9012546","Interleukin-18 signaling [Q14116-2]"
"1237","Q14213","R-HSA-8984722","Interleukin-35 Signalling"
"1238","Q14213","R-HSA-9020956","Interleukin-27 signaling"
"1239","Q14393","R-HSA-114608","Platelet degranulation"
"1240","Q14393","R-HSA-159740","Gamma-carboxylation of protein precursors"
"1241","Q14393","R-HSA-159763","Transport of gamma-carboxylated protein precursors from the endoplasmic reticulum to the Golgi apparatus"
"1242","Q14393","R-HSA-159782","Removal of aminoterminal propeptides from gamma-carboxylated proteins"
"1243","Q14393","R-HSA-202733","Cell surface interactions at the vascular wall"
"1244","Q14393","R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)"
"1245","Q14393","R-HSA-8957275","Post-translational protein phosphorylation"
"1246","Q14515","R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)"
"1247","Q14515","R-HSA-8957275","Post-translational protein phosphorylation"
"1248","Q14767","R-HSA-2129379","Molecules associated with elastic fibres"
"1249","Q14790","R-HSA-111465","Apoptotic cleavage of cellular proteins"
"1250","Q14790","R-HSA-140534","Caspase activation via Death Receptors in the presence of ligand"
"1251","Q14790","R-HSA-168638","NOD1/2 Signaling Pathway"
"1252","Q14790","R-HSA-2562578","TRIF-mediated programmed cell death"
"1253","Q14790","R-HSA-264870","Caspase-mediated cleavage of cytoskeletal proteins"
"1254","Q14790","R-HSA-3371378","Regulation by c-FLIP"
"1255","Q14790","R-HSA-5213460","RIPK1-mediated regulated necrosis"
"1256","Q14790","R-HSA-5218900","CASP8 activity is inhibited"
"1257","Q14790","R-HSA-5357786","TNFR1-induced proapoptotic signaling"
"1258","Q14790","R-HSA-5357905","Regulation of TNFR1 signaling"
"1259","Q14790","R-HSA-5660668","CLEC7A/inflammasome pathway"
"1260","Q14790","R-HSA-5675482","Regulation of necroptotic cell death"
"1261","Q14790","R-HSA-69416","Dimerization of procaspase-8"
"1262","Q14790","R-HSA-75108","Activation, myristolyation of BID and translocation to mitochondria"
"1263","Q14790","R-HSA-75153","Apoptotic execution phase"
"1264","Q14790","R-HSA-75157","FasL/ CD95L signaling"
"1265","Q14790","R-HSA-75158","TRAIL signaling"
"1266","Q14790","R-HSA-9013957","TLR3-mediated TICAM1-dependent programmed cell death"
"1267","Q14790","R-HSA-933543","NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10"
"1268","Q14956","R-HSA-8857538","PTK6 promotes HIF1A stabilization"
"1269","Q15113","R-HSA-1650814","Collagen biosynthesis and modifying enzymes"
"1270","Q15113","R-HSA-2243919","Crosslinking of collagen fibrils"
"1271","Q15116","R-HSA-389948","PD-1 signaling"
"1272","Q15126","R-HSA-191273","Cholesterol biosynthesis"
"1273","Q15126","R-HSA-2426168","Activation of gene expression by SREBF (SREBP)"
"1274","Q15166","R-HSA-2142688","Synthesis of 5-eicosatetraenoic acids"
"1275","Q15389","R-HSA-210993","Tie2 Signaling"
"1276","Q15389","R-HSA-5673001","RAF/MAP kinase cascade"
"1277","Q15485","R-HSA-166662","Lectin pathway of complement activation"
"1278","Q15485","R-HSA-166663","Initial triggering of complement"
"1279","Q15485","R-HSA-2855086","Ficolins bind to repetitive carbohydrate structures on the target cell surface"
"1280","Q15582","R-HSA-977225","Amyloid fiber formation"
"1281","Q16270","R-HSA-2559582","Senescence-Associated Secretory Phenotype (SASP)"
"1282","Q16270","R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)"
"1283","Q16270","R-HSA-8957275","Post-translational protein phosphorylation"
"1284","Q16552","R-HSA-448424","Interleukin-17 signaling"
"1285","Q16552","R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling"
"1286","Q16619","R-HSA-6788467","IL-6-type cytokine receptor ligand interactions"
"1287","Q16769","R-HSA-6798695","Neutrophil degranulation"
"1288","Q16790","R-HSA-1234158","Regulation of gene expression by Hypoxia-inducible Factor"
"1289","Q16790","R-HSA-1475029","Reversible hydration of carbon dioxide"
"1290","Q16853","R-HSA-211945","Phase I - Functionalization of compounds"
"1291","Q16864","R-HSA-1222556","ROS and RNS production in phagocytes"
"1292","Q16864","R-HSA-77387","Insulin receptor recycling"
"1293","Q16864","R-HSA-917977","Transferrin endocytosis and recycling"
"1294","Q16864","R-HSA-9639288","Amino acids regulate mTORC1"
"1295","Q16864","R-HSA-983712","Ion channel transport"
"1296","Q29980","R-HSA-198933","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell"
"1297","Q29983","R-HSA-198933","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell"
"1298","Q5JZY3","R-HSA-2682334","EPH-Ephrin signaling"
"1299","Q5JZY3","R-HSA-3928663","EPHA-mediated growth cone collapse"
"1300","Q5JZY3","R-HSA-3928665","EPH-ephrin mediated repulsion of cells"
"1301","Q5T2D2","R-HSA-198933","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell"
"1302","Q5T4W7","R-HSA-419037","NCAM1 interactions"
"1303","Q5T4W7","R-HSA-5673001","RAF/MAP kinase cascade"
"1304","Q5T4W7","R-HSA-8853659","RET signaling"
"1305","Q6UWL6","R-HSA-373753","Nephrin family interactions"
"1306","Q86VB7","R-HSA-2168880","Scavenging of heme from plasma"
"1307","Q86Z14","R-HSA-109704","PI3K Cascade"
"1308","Q86Z14","R-HSA-1257604","PIP3 activates AKT signaling"
"1309","Q86Z14","R-HSA-1307965","betaKlotho-mediated ligand binding"
"1310","Q86Z14","R-HSA-2219530","Constitutive Signaling by Aberrant PI3K in Cancer"
"1311","Q86Z14","R-HSA-5654228","Phospholipase C-mediated cascade, FGFR4"
"1312","Q86Z14","R-HSA-5654712","FRS-mediated FGFR4 signaling"
"1313","Q86Z14","R-HSA-5654719","SHC-mediated cascade:FGFR4"
"1314","Q86Z14","R-HSA-5654720","PI-3K cascade:FGFR4"
"1315","Q86Z14","R-HSA-5654733","Negative regulation of FGFR4 signaling"
"1316","Q86Z14","R-HSA-5673001","RAF/MAP kinase cascade"
"1317","Q86Z14","R-HSA-6811558","PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling"
"1318","Q8IU54","R-HSA-449836","Other interleukin signaling"
"1319","Q8IU54","R-HSA-8854691","Interleukin-20 family signaling"
"1320","Q8N423","R-HSA-198933","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell"
"1321","Q8N423","R-HSA-6798695","Neutrophil degranulation"
"1322","Q8N474","R-HSA-201681","TCF dependent signaling in response to WNT"
"1323","Q8N474","R-HSA-3772470","Negative regulation of TCF-dependent signaling by WNT ligand antagonists"
"1324","Q8N6P7","R-HSA-8854691","Interleukin-20 family signaling"
"1325","Q8NBP7","R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)"
"1326","Q8NBP7","R-HSA-8866427","VLDLR internalisation and degradation"
"1327","Q8NBP7","R-HSA-8957275","Post-translational protein phosphorylation"
"1328","Q8NBP7","R-HSA-8964038","LDL clearance"
"1329","Q8NFT8","R-HSA-2122948","Activated NOTCH1 Transmits Signal to the Nucleus"
"1330","Q8NHL6","R-HSA-198933","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell"
"1331","Q8TCT1","R-HSA-1483191","Synthesis of PC"
"1332","Q8TCT1","R-HSA-1483213","Synthesis of PE"
"1333","Q92583","R-HSA-380108","Chemokine receptors bind chemokines"
"1334","Q92597","R-HSA-6803205","TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain"
"1335","Q92956","R-HSA-388841","Costimulation by the CD28 family"
"1336","Q92956","R-HSA-5669034","TNFs bind their physiological receptors"
"1337","Q969D9","R-HSA-1266695","Interleukin-7 signaling"
"1338","Q969M7","R-HSA-8951664","Neddylation"
"1339","Q969M7","R-HSA-983168","Antigen processing: Ubiquitination & Proteasome degradation"
"1340","Q96B36","R-HSA-165159","mTOR signalling"
"1341","Q96B36","R-HSA-166208","mTORC1-mediated signalling"
"1342","Q96B36","R-HSA-198323","AKT phosphorylates targets in the cytosol"
"1343","Q96B36","R-HSA-3371571","HSF1-dependent transactivation"
"1344","Q96B36","R-HSA-5674400","Constitutive Signaling by AKT1 E17K in Cancer"
"1345","Q96EP0","R-HSA-5357905","Regulation of TNFR1 signaling"
"1346","Q96EP0","R-HSA-5357956","TNFR1-induced NFkappaB signaling pathway"
"1347","Q96F46","R-HSA-448424","Interleukin-17 signaling"
"1348","Q96IU4","R-HSA-156584","Cytosolic sulfonation of small molecules"
"1349","Q96PL1","R-HSA-3000480","Scavenging by Class A Receptors"
"1350","Q96RJ3","R-HSA-5668541","TNFR2 non-canonical NF-kB pathway"
"1351","Q96RJ3","R-HSA-5676594","TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway"
"1352","Q99426","R-HSA-389977","Post-chaperonin tubulin folding pathway"
"1353","Q99616","R-HSA-380108","Chemokine receptors bind chemokines"
"1354","Q99616","R-HSA-418594","G alpha (i) signalling events"
"1355","Q99650","R-HSA-6788467","IL-6-type cytokine receptor ligand interactions"
"1356","Q99731","R-HSA-380108","Chemokine receptors bind chemokines"
"1357","Q99731","R-HSA-418594","G alpha (i) signalling events"
"1358","Q99731","R-HSA-6783783","Interleukin-10 signaling"
"1359","Q99748","R-HSA-419037","NCAM1 interactions"
"1360","Q99748","R-HSA-5673001","RAF/MAP kinase cascade"
"1361","Q99748","R-HSA-8853659","RET signaling"
"1362","Q99969","R-HSA-114608","Platelet degranulation"
"1363","Q9BQ51","R-HSA-389948","PD-1 signaling"
"1364","Q9BXR6","R-HSA-977606","Regulation of Complement cascade"
"1365","Q9BYC5","R-HSA-975578","Reactions specific to the complex N-glycan synthesis pathway"
"1366","Q9BZW8","R-HSA-202733","Cell surface interactions at the vascular wall"
"1367","Q9GZV9","R-HSA-109704","PI3K Cascade"
"1368","Q9GZV9","R-HSA-1257604","PIP3 activates AKT signaling"
"1369","Q9GZV9","R-HSA-1839122","Signaling by activated point mutants of FGFR1"
"1370","Q9GZV9","R-HSA-1839130","Signaling by activated point mutants of FGFR3"
"1371","Q9GZV9","R-HSA-190322","FGFR4 ligand binding and activation"
"1372","Q9GZV9","R-HSA-190372","FGFR3c ligand binding and activation"
"1373","Q9GZV9","R-HSA-190373","FGFR1c ligand binding and activation"
"1374","Q9GZV9","R-HSA-190374","FGFR1c and Klotho ligand binding and activation"
"1375","Q9GZV9","R-HSA-190375","FGFR2c ligand binding and activation"
"1376","Q9GZV9","R-HSA-2033514","FGFR3 mutant receptor activation"
"1377","Q9GZV9","R-HSA-2033519","Activated point mutants of FGFR2"
"1378","Q9GZV9","R-HSA-2219530","Constitutive Signaling by Aberrant PI3K in Cancer"
"1379","Q9GZV9","R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)"
"1380","Q9GZV9","R-HSA-5654219","Phospholipase C-mediated cascade: FGFR1"
"1381","Q9GZV9","R-HSA-5654221","Phospholipase C-mediated cascade, FGFR2"
"1382","Q9GZV9","R-HSA-5654227","Phospholipase C-mediated cascade, FGFR3"
"1383","Q9GZV9","R-HSA-5654228","Phospholipase C-mediated cascade, FGFR4"
"1384","Q9GZV9","R-HSA-5654687","Downstream signaling of activated FGFR1"
"1385","Q9GZV9","R-HSA-5654688","SHC-mediated cascade:FGFR1"
"1386","Q9GZV9","R-HSA-5654689","PI-3K cascade:FGFR1"
"1387","Q9GZV9","R-HSA-5654693","FRS-mediated FGFR1 signaling"
"1388","Q9GZV9","R-HSA-5654695","PI-3K cascade:FGFR2"
"1389","Q9GZV9","R-HSA-5654699","SHC-mediated cascade:FGFR2"
"1390","Q9GZV9","R-HSA-5654700","FRS-mediated FGFR2 signaling"
"1391","Q9GZV9","R-HSA-5654704","SHC-mediated cascade:FGFR3"
"1392","Q9GZV9","R-HSA-5654706","FRS-mediated FGFR3 signaling"
"1393","Q9GZV9","R-HSA-5654710","PI-3K cascade:FGFR3"
"1394","Q9GZV9","R-HSA-5654712","FRS-mediated FGFR4 signaling"
"1395","Q9GZV9","R-HSA-5654719","SHC-mediated cascade:FGFR4"
"1396","Q9GZV9","R-HSA-5654720","PI-3K cascade:FGFR4"
"1397","Q9GZV9","R-HSA-5654726","Negative regulation of FGFR1 signaling"
"1398","Q9GZV9","R-HSA-5654727","Negative regulation of FGFR2 signaling"
"1399","Q9GZV9","R-HSA-5654732","Negative regulation of FGFR3 signaling"
"1400","Q9GZV9","R-HSA-5654733","Negative regulation of FGFR4 signaling"
"1401","Q9GZV9","R-HSA-5655253","Signaling by FGFR2 in disease"
"1402","Q9GZV9","R-HSA-5655302","Signaling by FGFR1 in disease"
"1403","Q9GZV9","R-HSA-5658623","FGFRL1 modulation of FGFR1 signaling"
"1404","Q9GZV9","R-HSA-5673001","RAF/MAP kinase cascade"
"1405","Q9GZV9","R-HSA-6811558","PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling"
"1406","Q9GZV9","R-HSA-8853338","Signaling by FGFR3 point mutants in cancer"
"1407","Q9GZV9","R-HSA-8957275","Post-translational protein phosphorylation"
"1408","Q9H2A7","R-HSA-380108","Chemokine receptors bind chemokines"
"1409","Q9H2A7","R-HSA-418594","G alpha (i) signalling events"
"1410","Q9H477","R-HSA-71336","Pentose phosphate pathway"
"1411","Q9H4A9","R-HSA-2142691","Synthesis of Leukotrienes (LT) and Eoxins (EX)"
"1412","Q9H4A9","R-HSA-5423646","Aflatoxin activation and detoxification"
"1413","Q9HBE4","R-HSA-9020958","Interleukin-21 signaling"
"1414","Q9HCB6","R-HSA-5083635","Defective B3GALTL causes Peters-plus syndrome (PpS)"
"1415","Q9HCB6","R-HSA-5173214","O-glycosylation of TSR domain-containing proteins"
"1416","Q9HCN6","R-HSA-114604","GPVI-mediated activation cascade"
"1417","Q9HCN6","R-HSA-202733","Cell surface interactions at the vascular wall"
"1418","Q9HCN6","R-HSA-75892","Platelet Adhesion to exposed collagen"
"1419","Q9HD89","R-HSA-6798695","Neutrophil degranulation"
"1420","Q9HD89","R-HSA-9615017","FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes"
"1421","Q9NP84","R-HSA-5668541","TNFR2 non-canonical NF-kB pathway"
"1422","Q9NP84","R-HSA-5676594","TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway"
"1423","Q9NPY3","R-HSA-6798695","Neutrophil degranulation"
"1424","Q9NQ76","R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)"
"1425","Q9NQ76","R-HSA-8957275","Post-translational protein phosphorylation"
"1426","Q9NRJ3","R-HSA-380108","Chemokine receptors bind chemokines"
"1427","Q9NRJ3","R-HSA-418594","G alpha (i) signalling events"
"1428","Q9NSA1","R-HSA-189200","Cellular hexose transport"
"1429","Q9NSA1","R-HSA-8963889","Assembly of active LPL and LIPC lipase complexes"
"1430","Q9NYY1","R-HSA-8854691","Interleukin-20 family signaling"
"1431","Q9NZQ7","R-HSA-389948","PD-1 signaling"
"1432","Q9P0M4","R-HSA-448424","Interleukin-17 signaling"
"1433","Q9UBR2","R-HSA-2022377","Metabolism of Angiotensinogen to Angiotensins"
"1434","Q9UBR2","R-HSA-204005","COPII-mediated vesicle transport"
"1435","Q9UBR2","R-HSA-432720","Lysosome Vesicle Biogenesis"
"1436","Q9UBR2","R-HSA-5694530","Cargo concentration in the ER"
"1437","Q9UBR2","R-HSA-6798695","Neutrophil degranulation"
"1438","Q9UHF4","R-HSA-8854691","Interleukin-20 family signaling"
"1439","Q9UHV9","R-HSA-389957","Prefoldin mediated transfer of substrate to CCT/TriC"
"1440","Q9UM47","R-HSA-1912399","Pre-NOTCH Processing in the Endoplasmic Reticulum"
"1441","Q9UM47","R-HSA-1912408","Pre-NOTCH Transcription and Translation"
"1442","Q9UM47","R-HSA-1912420","Pre-NOTCH Processing in Golgi"
"1443","Q9UM47","R-HSA-350054","Notch-HLH transcription pathway"
"1444","Q9UM47","R-HSA-5083630","Defective LFNG causes SCDO3"
"1445","Q9UM47","R-HSA-9013507","NOTCH3 Activation and Transmission of Signal to the Nucleus"
"1446","Q9UM47","R-HSA-9013508","NOTCH3 Intracellular Domain Regulates Transcription"
"1447","Q9UM47","R-HSA-9017802","Noncanonical activation of NOTCH3"
"1448","Q9Y275","R-HSA-5668541","TNFR2 non-canonical NF-kB pathway"
"1449","Q9Y275","R-HSA-5669034","TNFs bind their physiological receptors"
"1450","Q9Y275","R-HSA-5676594","TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway"
"1451","Q9Y4X3","R-HSA-380108","Chemokine receptors bind chemokines"
"1452","Q9Y4X3","R-HSA-418594","G alpha (i) signalling events"
"1453","Q9Y5C1","R-HSA-8963889","Assembly of active LPL and LIPC lipase complexes"
"1454","Q9Y5C1","R-HSA-9029558","NR1H2 & NR1H3 regulate gene expression linked to lipogenesis"
"1455","Q9Y5P4","R-HSA-1660661","Sphingolipid de novo biosynthesis [Q9Y5P4-2]"
"1456","Q9Y5Y7","R-HSA-2160916","Hyaluronan uptake and degradation"
"1457","Q9Y624","R-HSA-202733","Cell surface interactions at the vascular wall"
"1458","Q9Y624","R-HSA-216083","Integrin cell surface interactions"
"1459","Q9Y624","R-HSA-2173791","TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition)"
"1460","Q9Y624","R-HSA-420029","Tight junction interactions"
"1461","Q9Y6D9","R-HSA-141444","Amplification of signal from unattached kinetochores via a MAD2 inhibitory signal"
"1462","Q9Y6D9","R-HSA-2467813","Separation of Sister Chromatids"
"1463","Q9Y6D9","R-HSA-2500257","Resolution of Sister Chromatid Cohesion"
"1464","Q9Y6D9","R-HSA-5663220","RHO GTPases Activate Formins"
"1465","Q9Y6D9","R-HSA-68877","Mitotic Prometaphase"
